ToxicParser Profiler
====================
Target: parser
Profiler: eprof
Profile type: time
Matching: all functions
File limit: 20

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 20 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 20
Total AST nodes: 20850
Total bytes: 315762
Baseline time: 881.66 ms
Throughput: 23649.0 AST nodes/sec
Throughput: 349.75 KB/sec

Running profiler (eprof, time)...

Using eprof
Warmup...


Profile results of #PID<0.195.0>
#                                                                                      CALLS    %   TIME µS/CALL
Total                                                                                1104175 100. 758662    0.07
ToxicParser.Grammar.Maps.parse_map_update_with_min_bp/2                                   64 0.00     24    0.38
ToxicParser.Grammar.Maps.parse_map_args/5                                                124 0.00     25    0.20
ToxicParser.Grammar.Brackets.parse_single_container_expr/3                               129 0.00     25    0.19
anonymous fn/4 in ToxicParser.Grammar.Calls.parse_no_parens_call/4                       425 0.00     26    0.06
ToxicParser.Grammar.Calls.parse_bracket_access/5                                          62 0.00     26    0.42
:erlang.list_to_tuple/1                                                                   40 0.00     26    0.65
:erlang.demonitor/2                                                                       20 0.00     26    1.30
anonymous fn/1 in ToxicParser.Grammar.CallsPrivate.finalize_call_args_parens_items/1     710 0.00     26    0.04
ToxicParser.Grammar.Stabs.try_parse_stab_or_expr/6                                        90 0.00     26    0.29
Toxic.new/4                                                                               20 0.00     27    1.35
:erlang.monitor/2                                                                         20 0.00     28    1.40
ToxicParser.State.new/2                                                                   20 0.00     29    1.45
ToxicParser.Pratt.parse_capture_int/3                                                    154 0.00     30    0.19
:file.call/2                                                                              20 0.00     31    1.55
anonymous fn/1 in ToxicParser.Grammar.Strings.build_sigil_parts/1                        847 0.00     31    0.04
ToxicParser.Grammar.Maps.parse_map_update_candidate/3                                    102 0.00     31    0.30
:unicode_util.cp_no_bin/1                                                                785 0.00     33    0.04
Toxic.Driver.Contexts.pending_error/1                                                    158 0.00     33    0.21
ToxicParser.Grammar.Containers.parse_paren/4                                              98 0.00     33    0.34
ToxicParser.Pratt.led_dot_call/6                                                         230 0.00     34    0.15
anonymous fn/1 in ToxicParser.Grammar.Strings.merge_fragments_unescape/1                 782 0.00     34    0.04
ToxicProfiler.process_file/2                                                              20 0.00     35    1.75
Toxic.NormalTokenizer.Number.tokenize_hex/3                                              480 0.00     35    0.07
ToxicParser.Grammar.Delimited.parse_comma_separated/5                                    929 0.00     36    0.04
ToxicParser.parse_string/2                                                                20 0.00     36    1.80
Enumerable.impl_for/1                                                                    836 0.00     36    0.04
ToxicParser.Grammar.Strings.get_sigil_indentation/1                                      979 0.00     37    0.04
ToxicParser.Grammar.Strings.get_heredoc_indentation/1                                    836 0.00     39    0.05
ToxicParser.Grammar.Maps.build_map_ast/4                                                 983 0.00     40    0.04
ToxicParser.Grammar.Strings.parse_quoted_atom/6                                           88 0.00     41    0.47
ToxicParser.Grammar.Strings.build_sigil_parts/1                                          979 0.00     41    0.04
ToxicParser.Grammar.Strings.build_interpolated_parts/2                                   975 0.00     42    0.04
Toxic.Util.reset_eol/4                                                                  1093 0.00     44    0.04
Enum.slice_exact/5                                                                       414 0.00     48    0.12
Toxic.NormalTokenizer.Comment.preserve_comments/6                                       1137 0.00     49    0.04
ToxicParser.Grammar.Stabs.do_collect_stab/3                                              844 0.00     55    0.07
ToxicParser.Builder.Meta.closing_meta/4                                                 1608 0.00     59    0.04
ToxicParser.Pratt.parse_rhs/5                                                           1474 0.00     62    0.04
ToxicParser.Grammar.EOE.skip_with_meta/1                                                1499 0.00     66    0.04
anonymous fn/1 in ToxicParser.Grammar.Containers.finalize_list_items/1                  1781 0.00     67    0.04
ToxicParser.Grammar.Expressions.finalize_exprs/3                                        1499 0.00     68    0.05
anonymous fn/2 in ToxicParser.Grammar.Strings.merge_fragments_unescape/1                 782 0.00     69    0.09
Enum.take_exact/2                                                                       1146 0.00     71    0.06
Enumerable.impl_for!/1                                                                   836 0.00     72    0.09
ToxicParser.Context.kw_no_parens_value/0                                                1871 0.00     74    0.04
:elixir_interpolation.unescape_map/1                                                    1866 0.00     76    0.04
ToxicParser.Grammar.Maps.parse_map_args_after_brace/6                                    931 0.00     88    0.09
ToxicParser.Grammar.Dots.parse_dot_call/4                                                230 0.00     92    0.40
:binary.bin_to_list/1                                                                    928 0.00     93    0.10
ToxicParser.Grammar.Maps.token_meta/1                                                   2298 0.00     93    0.04
Enum.reduce_while/3                                                                      836 0.00     96    0.11
:gen.do_call/4                                                                            20 0.00     97    4.85
ToxicParser.Grammar.Blocks.build_block/1                                                1849 0.00     99    0.05
