ToxicParser Profiler
====================
Target: parser
Profiler: auto
Profile type: calls
Matching: all functions
File limit: 50

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 50 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 50
Total AST nodes: 90645
Total bytes: 1330661
Baseline time: 3288.15 ms
Throughput: 27567.0 AST nodes/sec
Throughput: 395.2 KB/sec

Running profiler (auto, calls)...

Using tprof for call counting (OTP 27+)
Warmup...


Profile results over all processes
#                                                                                        CALLS      %
Total                                                                                423010958 100.00
anonymous fn/1 in ToxicParser.Grammar.CallsPrivate.finalize_call_args_parens_items/1       990   0.00
Toxic.Unescape.unescape_map/1                                                             1072   0.00
Toxic.Driver.Contexts.check_identifier_validity/3                                         1106   0.00
Toxic.Util.multiple/5                                                                     1106   0.00
:unicode.characters_to_list/2                                                             1156   0.00
:unicode.characters_to_list/1                                                             1156   0.00
String.to_charlist/1                                                                      1156   0.00
anonymous fn/2 in ToxicParser.Grammar.Strings.build_interpolated_parts_unescape/2         1168   0.00
ToxicParser.Grammar.Blocks.label_from/1                                                   1312   0.00
:unicode_util.cp_no_bin/1                                                                 1322   0.00
Toxic.Driver.Contexts.is_unnecessary_quote/4                                              1330   0.00
ToxicParser.Grammar.Containers.semicolon_eoe?/1                                           1460   0.00
ToxicParser.Grammar.Blocks.parse_fn/4                                                     1578   0.00
ToxicParser.Pratt.parse_capture_int/3                                                     1580   0.00
ToxicParser.Grammar.Stabs.collect_stab/1                                                  1620   0.00
ToxicParser.Pratt.led_dot_call/6                                                          1652   0.00
ToxicParser.Grammar.Dots.parse_dot_call/4                                                 1652   0.00
ToxicParser.Grammar.Bitstrings.parse/4                                                    1660   0.00
ToxicParser.Grammar.Strings.merge_fragments_unescape/1                                    1798   0.00
anonymous fn/2 in ToxicParser.Grammar.Strings.merge_fragments_unescape/1                  1798   0.00
anonymous fn/1 in ToxicParser.Grammar.Strings.merge_fragments_unescape/1                  1798   0.00
Toxic.NormalTokenizer.Number.tokenize_hex/3                                               1800   0.00
Enum.take_exact/2                                                                         1852   0.00
ToxicParser.Grammar.Stabs.build_stab_block/1                                              1964   0.00
ToxicParser.Grammar.Stabs.parse_stab_eoe_until/5                                          1964   0.00
ToxicParser.Grammar.Stabs.is_keyword_list/1                                               1980   0.00
Enum.reduce_while/3                                                                       1982   0.00
ToxicParser.Grammar.Strings.build_heredoc_ast/9                                           1982   0.00
ToxicParser.Grammar.Strings.get_heredoc_indentation/1                                     1982   0.00
ToxicParser.Grammar.Strings.parse_heredoc/5                                               1982   0.00
Enumerable.reduce/3                                                                       1982   0.00
Enumerable.impl_for!/1                                                                    1982   0.00
Enumerable.impl_for/1                                                                     1982   0.00
ToxicParser.Pratt.build_dot_alias/4                                                       2015   0.00
anonymous fn/1 in ToxicParser.Grammar.Strings.build_sigil_parts/1                         2033   0.00
ToxicParser.Grammar.Strings.trim_heredoc_parts/3                                          2036   0.00
ToxicParser.Grammar.Calls.parse_no_parens_args/4                                          2072   0.00
ToxicParser.Grammar.Calls.parse_no_parens_call/4                                          2072   0.00
anonymous fn/4 in ToxicParser.Grammar.Calls.parse_no_parens_call/4                        2072   0.00
ToxicParser.Grammar.Strings.build_sigil_parts/1                                           2443   0.00
ToxicParser.Grammar.Strings.get_sigil_indentation/1                                       2443   0.00
ToxicParser.Grammar.Strings.parse_sigil/5                                                 2443   0.00
ToxicParser.Grammar.Maps.parse_map_args_after_brace/6                                     2477   0.00
:erlang.binary_to_list/1                                                                  2520   0.00
ToxicParser.Grammar.Strings.trim_fragment/5                                               2520   0.00
:binary.bin_to_list/1                                                                     2520   0.00
ToxicParser.Grammar.Delimited.parse_comma_separated/5                                     2527   0.00
ToxicParser.Grammar.Maps.finalize_map_close_items/1                                       2527   0.00
ToxicParser.Grammar.Maps.parse_map_close/3                                                2527   0.00
:erlang.list_to_binary/1                                                                  2546   0.00
anonymous fn/4 in ToxicParser.Grammar.Maps.parse_map_close/3                              2565   0.00
:elixir_interpolation.unescape_map/1                                                      2704   0.00
ToxicParser.Grammar.Maps.try_parse_map_update/3                                           2875   0.00
ToxicParser.Grammar.Maps.build_map_ast/4                                                  2895   0.00
ToxicParser.Grammar.Maps.parse_map/4                                                      3243   0.00
ToxicParser.Grammar.Maps.parse_map_args_body/7                                            3243   0.00
ToxicParser.Grammar.Maps.parse_map_base/3                                                 3243   0.00
ToxicParser.Grammar.Bitstrings.finalize_bitstring_items/1                                 3556   0.00
ToxicParser.Grammar.Bitstrings.parse_base/3                                               3556   0.00
ToxicParser.Grammar.Stabs.do_collect_stab/3                                               3584   0.00
ToxicParser.Grammar.Strings.build_interpolated_parts/2                                    3635   0.00
ToxicParser.Grammar.Keywords.parse_kw_call/3                                              3645   0.00
Enum.drop/2                                                                               3777   0.00
Enum.slice_count_and_fun/2                                                                3777   0.00
ToxicParser.Grammar.Keywords.parse_kw_data/3                                              4380   0.00
:unicode_util.gc_extend/3                                                                 4678   0.00
:unicode_util.cp/1                                                                        4698   0.00
:unicode_util.gc_1/1                                                                      4698   0.00
:unicode_util.is_extend/1                                                                 4698   0.00
Enumerable.List.reduce/3                                                                  4948   0.00
ToxicParser.Grammar.Strings.trim_parts_loop/6                                             5056   0.00
ToxicParser.Pratt.parse_when_binary_rhs/8                                                 5090   0.00
ToxicParser.Pratt.parse_rhs/5                                                             5162   0.00
ToxicParser.Grammar.Keywords.parse_call_args_no_parens_kw/4                               5824   0.00
ToxicParser.Grammar.Strings.build_interpolation_ast/4                                     5867   0.00
ToxicParser.Grammar.Strings.parse_interpolation/3                                         5867   0.00
ToxicParser.Grammar.Calls.parse_no_parens_call_no_led/5                                   5895   0.00
ToxicParser.Grammar.Expressions.expr_list/3                                               5917   0.00
ToxicParser.Grammar.Expressions.finalize_exprs/3                                          5917   0.00
ToxicParser.Grammar.EOE.skip_with_meta/1                                                  5917   0.00
ToxicParser.Grammar.EOE.skip_with_meta/2                                                  5967   0.00
ToxicParser.Grammar.Expressions.collect_exprs/4                                           5985   0.00
ToxicParser.Grammar.Expressions.maybe_annotate_eoe/2                                      5985   0.00
ToxicParser.Grammar.Strings.parse/4                                                       6179   0.00
ToxicParser.Grammar.Calls.parse_identifier_no_led/6                                       6441   0.00
ToxicParser.Grammar.Calls.parse_without_led/4                                             6441   0.00
ToxicParser.Builder.Meta.closing_meta/4                                                   6486   0.00
ToxicParser.Grammar.Calls.extract_meta/1                                                  6512   0.00
ToxicParser.Grammar.Calls.parse_nested_paren_call/4                                       6512   0.00
ToxicParser.Grammar.Bitstrings.token_meta/1                                               7112   0.00
ToxicParser.Context.kw_no_parens_value/0                                                  7505   0.00
ToxicParser.Grammar.Keywords.try_parse_call_args_no_parens_kw_expr/4                      7505   0.00
